time_in_seconds	job1.mbps	job2.mbps
0	8944.0	0.0
1	17567.0	0.0
2	15335.0	0.0
3	17562.0	0.0
4	14601.0	0.0
5	18262.0	0.0
6	18347.0	0.0
7	16276.0	0.0
8	17356.0	0.0
9	17752.0	0.0
10	19763.0	0.0
11	18488.0	0.0
12	18575.0	0.0
13	19608.0	0.0
14	19565.0	0.0
15	14576.0	0.0
16	7991.0	5401.0
17	7846.0	7988.0
18	8072.0	7305.0
19	9117.0	7879.0
20	8637.0	9519.0
21	8525.0	8992.0
22	9191.0	8297.0
23	10279.0	8952.0
24	9696.0	10533.0
25	9471.0	9760.0
26	10553.0	9596.0
27	10679.0	10581.0
28	9992.0	10581.0
29	10224.0	10225.0
30	11156.0	10379.0
31	9828.0	10969.0
32	10154.0	9652.0
33	10288.0	10771.0
34	9630.0	9830.0
35	10088.0	9768.0
36	10437.0	10236.0
37	9962.0	10379.0
38	10396.0	10587.0
39	10630.0	10546.0
40	10716.0	10273.0
41	10630.0	10972.0
42	10181.0	10722.0
43	9992.0	10246.0
44	10267.0	9810.0
45	18614.0	10133.0
46	21972.0	111.0
47	23035.0	0.0
48	22944.0	0.0
49	22413.0	0.0
50	21936.0	0.0
51	22309.0	0.0
52	22633.0	0.0
53	22021.0	0.0
54	22347.0	0.0
55	22097.0	0.0
56	21737.0	0.0
57	22089.0	0.0
58	21828.0	0.0
59	21328.0	0.0
