TACC:  Starting up job 4155449 
TACC:  Starting parallel tasks... 
rw_speed time=2022-03-14:12:46:36 np=56 nn=1 sim_nn=1 rank0host=c202-012.frontera.tacc.utexas.edu -prefix=/myfs/rw_speed -iosize=1048576 -filesize=104857600 -time=60.0 -tag=job1
rank=15  mbps_1sec_time_slices=(0.0,0.0,2.0,3.0,1.0,2.0,4.0,5.0,5.0,7.0,6.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,6.0,3.0,6.0,4.0,5.0,6.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,6.0,4.0,3.0,2.0,4.0,3.0,4.0,9.0,8.0,8.0,1.0)
rank=18  mbps_1sec_time_slices=(0.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,1.0)
rank=19  mbps_1sec_time_slices=(0.0,0.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,6.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,7.0,7.0,6.0,1.0)
rank=20  mbps_1sec_time_slices=(0.0,0.0,1.0,2.0,1.0,2.0,5.0,5.0,6.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,6.0,3.0,4.0,4.0,5.0,3.0,7.0,6.0,4.0,4.0,4.0,6.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,2.0,3.0,4.0,4.0,9.0,8.0,7.0,1.0)
rank=21  mbps_1sec_time_slices=(0.0,0.0,2.0,3.0,1.0,3.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,5.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,5.0,3.0,6.0,6.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,7.0,8.0,1.0)
rank=22  mbps_1sec_time_slices=(0.0,0.0,1.0,3.0,2.0,1.0,4.0,4.0,5.0,6.0,3.0,6.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,3.0,4.0,3.0,2.0,6.0,5.0,9.0,8.0,9.0,1.0)
rank=23  mbps_1sec_time_slices=(0.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0,3.0,4.0,4.0,6.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,6.0,6.0,7.0,1.0)
rank=25  mbps_1sec_time_slices=(0.0,0.0,2.0,1.0,2.0,0.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,5.0,2.0,5.0,5.0,7.0,5.0,1.0)
rank=26  mbps_1sec_time_slices=(0.0,0.0,1.0,1.0,1.0,2.0,3.0,5.0,4.0,4.0,6.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,6.0,6.0,6.0,1.0)
rank=27  mbps_1sec_time_slices=(0.0,0.0,1.0,4.0,1.0,1.0,5.0,7.0,9.0,7.0,6.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,8.0,8.0,9.0,1.0)
