time_in_seconds	job1.mbps	job2.mbps	job3.mbps	job4.mbps	job5.mbps	job6.mbps	job7.mbps	job8.mbps
80	21629.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	21989.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	21876.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	21614.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	22087.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	21545.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
86	22606.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
87	22671.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
88	22376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89	21684.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	20985.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91	21767.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
92	21357.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
93	21244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94	21425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	21055.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96	21759.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97	22350.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98	22152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99	22290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

