time_in_seconds	job1.mbps	job2.mbps
0	8313.0	0.0
1	12009.0	0.0
2	13861.0	0.0
3	14715.0	0.0
4	15552.0	0.0
5	16628.0	0.0
6	17397.0	0.0
7	17600.0	0.0
8	17936.0	0.0
9	19182.0	0.0
10	19307.0	0.0
11	18439.0	0.0
12	18486.0	0.0
13	19101.0	0.0
14	18964.0	0.0
15	17059.0	2742.0
16	16227.0	4037.0
17	15919.0	4050.0
18	15330.0	4007.0
19	15141.0	3802.0
20	15936.0	4068.0
21	15640.0	3895.0
22	16148.0	4125.0
23	15692.0	3907.0
24	16302.0	4156.0
25	16313.0	3982.0
26	16605.0	4252.0
27	16580.0	4196.0
28	16426.0	4128.0
29	16045.0	4150.0
30	16041.0	4102.0
31	16154.0	3993.0
32	16612.0	4201.0
33	16963.0	4261.0
34	17200.0	4313.0
35	16749.0	4250.0
36	16467.0	4147.0
37	16630.0	4225.0
38	16243.0	4222.0
39	16905.0	4217.0
40	17357.0	4322.0
41	16920.0	4246.0
42	16784.0	4231.0
43	17219.0	4393.0
44	17448.0	4355.0
45	21462.0	48.0
46	21663.0	0.0
47	21844.0	0.0
48	21235.0	0.0
49	20458.0	0.0
50	19926.0	0.0
51	20216.0	0.0
52	20930.0	0.0
53	20845.0	0.0
54	21002.0	0.0
55	20781.0	0.0
56	20578.0	0.0
57	20915.0	0.0
58	21178.0	0.0
59	20823.0	0.0
